,0,1,2
0,0,1,2.709
1,0,2,1496084.508
2,0,3,62.938
3,0,4,53.561
4,0,5,43.56
5,0,6,42097.29
6,0,7,447.247
7,0,8,631.1
8,0,10,50155.6
9,0,11,763.032
10,0,12,29.052
11,0,13,73.688
12,0,15,2.969
13,0,16,175.205
14,0,18,44.152
15,0,20,354.867
16,0,21,147417.203
17,0,23,8.505
18,0,25,18.252
19,0,26,1.194
20,0,27,685548.735
21,0,28,64570.18
22,0,29,1399.455
23,0,30,22203616.765
24,0,31,14368.603
25,0,32,20431.827
26,0,33,12932.874
27,0,34,117.273
28,0,37,1.351
29,0,38,241.036
30,0,39,2696.971
31,0,41,357.427
32,0,43,256.027
33,0,44,40.047
34,0,45,822.317
35,0,47,1076242.413
36,0,49,44.388
37,0,50,53.041
38,0,52,626225.817
39,0,53,5171.188
40,0,54,346123.987
41,0,55,0.763
42,0,56,29692.177
43,0,57,958.05
44,0,58,66.126
45,0,59,38.434
46,0,60,2237.207
47,0,61,6.749
48,0,64,11.528
49,0,65,27063.818
50,0,67,95.199
51,0,69,0.147
52,0,70,550031.48
53,0,71,3529714.995
54,0,72,1147.921
55,0,73,0.499
56,0,74,0.178
57,0,75,392668.947
58,0,76,506979.848
59,0,79,239381.815
60,0,80,220.039
61,0,81,1569.742
62,0,85,148443.362
63,0,86,124613.095
64,0,87,0.798
65,0,88,822.583
66,0,89,12.599
67,0,91,1.924
68,0,92,1.661
69,0,94,122.814
70,0,96,1542.077
71,0,98,2.772
72,0,100,353.121
73,0,102,68.429
74,0,103,71.018
75,0,105,1154.523
76,0,106,142.053
77,0,108,239.087
78,0,109,258416.184
79,0,111,16745.243
80,0,113,140061.879
81,0,114,9240.845
82,0,116,1.215
83,0,117,69.77
84,0,118,524.411
85,0,119,129376.893
86,0,120,6.512
87,0,121,6.901
88,0,123,4.487
89,0,124,474.553
90,0,125,1009051.887
91,0,126,729.284
92,0,127,1240.338
93,0,128,4673.816
94,0,129,499.743
95,0,130,1502.713
96,0,131,408663.863
97,0,132,0.987
98,0,137,9.313
99,0,139,65.607
100,0,140,1315.943
101,0,141,243.314
102,0,142,617349.104
103,0,144,0.869
104,0,146,169.925
105,0,147,114.685
106,0,148,841.036
107,0,149,457.62
108,0,150,14.668
109,0,151,164.665
110,0,152,333045.165
111,0,153,650565.859
112,0,155,17.75
113,0,156,13529.147
114,0,158,1075868.053
115,0,159,111.589
116,0,160,33.709
117,1,0,48.148
118,1,2,7436.315
119,1,3,43.75
120,1,4,11.626
121,1,6,1196.998
122,1,7,18037.635
123,1,8,14.829
124,1,9,4.231
125,1,10,3687.968
126,1,11,11.51
127,1,14,27208.17
128,1,15,48.46
129,1,16,38.586
130,1,17,12984.263
131,1,18,75.067
132,1,21,387.945
133,1,27,1150.568
134,1,28,27176.301
135,1,29,91.825
136,1,30,52735.367
137,1,31,486.599
138,1,33,31.991
139,1,34,5.669
140,1,36,22.116
141,1,37,255.667
142,1,38,41864.261
143,1,39,124480.571
144,1,41,10251.507
145,1,43,24.939
146,1,45,3249.01
147,1,47,223940.798
148,1,48,8409.864
149,1,50,587.399
150,1,52,31587.234
151,1,54,10609.379
152,1,55,171.516
153,1,56,21.751
154,1,57,14.669
155,1,60,31.544
156,1,61,121248.359
157,1,65,1094.988
158,1,67,8766.833
159,1,69,25258.268
160,1,70,0.602
161,1,71,5709.324
162,1,72,328.75
163,1,73,137.849
164,1,74,38.428
165,1,75,1380.614
166,1,76,1380835.26
